SleepInd,pEffort,uaI,uaI(-1),DeltaHrtwo,FatigInd
-4.0,1.0,0.0,0.0,-6.0,Low/Minimal
-4.0,6.0,2.0,2.0,4.0,Low/Minimal
-6.5,1.0,0.0,1.0,0.0,Low/Minimal
-6.0,1.0,0.0,2.0,-6.0,Low/Minimal
-3.5,8.0,3.12,2.47,-1.0,Low/Minimal
-7.0,1.0,0.0,0.0,-6.0,Low/Minimal
-5.5,2.0,2.0,2.0,0.0,Low/Minimal
-5.953549587280002,1.0,0.0464504127199977,1.0,-5.721297523680014,Low/Minimal
-6.0,2.0,2.0,1.869896814029441,6.0,Low/Minimal
-7.0,1.0,0.0,1.34,6.0,Low/Minimal
-6.0,1.0,0.0,2.11,-6.0,Low/Minimal
-7.5,6.0,2.0,2.0,-6.0,Optimal
-5.0,5.0,2.08,0.0,10.0,Optimal
-6.0,3.0,3.29,1.53,10.0,Optimal
-2.0,6.0,2.36,2.33,19.0,Optimal
-4.0,1.0,0.0,2.64,26.0,Optimal
-4.0,7.0,2.76,2.21,16.0,Optimal
-5.0,7.0,2.15,1.52,-6.0,Optimal
-4.0,5.0,2.47,2.76,30.0,Optimal
-5.0,8.0,1.72,2.58,-12.0,Optimal
-4.0,7.0,1.89,2.44,0.0,Optimal
-5.0,4.0,2.75,2.3,16.0,Optimal
-5.0,5.0,1.54,0.0,21.0,Optimal
-3.0,6.0,1.89,2.44,16.0,Optimal
-3.0,1.0,0.0,1.0,16.0,Optimal
-5.0,5.0,1.75,2.51,-12.0,Optimal
-4.0,5.0,3.06,3.67,10.0,Optimal
-6.0,5.0,2.2,2.35,10.0,Optimal
-4.0,6.0,2.07,1.33,16.0,Optimal
-3.0,5.0,1.9,3.23,-6.0,Optimal
-3.0,4.0,2.32,1.69,16.0,Optimal
-4.0,1.0,0.0,0.0,16.0,Optimal
-5.5,5.0,2.61,2.69,10.0,Optimal
-7.0,5.0,1.6,1.9,-24.0,Optimal
-5.0,7.0,2.58,1.8,22.0,Optimal
-6.5,1.0,0.0,1.78,28.0,Optimal
-5.5,4.0,2.0,2.0,30.0,Optimal
-4.0,5.0,2.0,2.0,30.0,Optimal
-5.5,6.0,2.52,1.85,21.0,Optimal
-4.0,4.0,2.92,3.29,10.0,Optimal
-4.800000000000001,5.0,2.0,2.0,21.0,Optimal
-3.0,4.0,1.0,1.6,15.0,Optimal
-4.5,1.0,0.0,2.31,28.0,Optimal
-3.0,4.0,2.58,2.32,16.0,Optimal
-4.0,5.0,2.19,1.89,21.0,Optimal
-4.0,7.0,2.59,2.05,-18.0,Optimal
-5.0,5.0,2.0,2.0,32.0,Optimal
-5.5,2.0,0.0,1.0,33.0,Optimal
-4.0,1.0,0.0,1.5,10.0,Optimal
0.0,1.0,0.0,1.47,4.0,Optimal
-4.5,6.0,2.73,2.76,-18.0,Optimal
-5.0,6.0,1.68,2.59,18.0,Optimal
-3.0,5.0,1.89,1.54,11.0,Optimal
-3.5,1.0,0.0,3.0,18.0,Optimal
-3.0,5.0,2.13,2.06,16.0,Optimal
-2.5,4.0,1.32,2.47,16.0,Optimal
-5.0,6.0,2.3,0.0,-6.0,Optimal
-5.0,1.0,0.0,2.31,-42.0,Optimal
-2.0,1.0,0.0,0.0,0.0,Optimal
-5.0,5.0,2.3,2.25,16.0,Optimal
-2.0,4.0,2.61,2.69,-9.0,Optimal
-7.0,5.0,1.94,1.87,10.0,Optimal
-4.0,4.0,1.75,1.0,-6.0,Optimal
-6.0,5.0,1.41,0.0,16.0,Optimal
-2.0,5.0,1.6,1.88,16.0,Optimal
-3.0,5.0,2.0,2.0,0.0,Optimal
-5.0,4.0,2.0,2.79,10.0,Optimal
-2.5,6.0,2.23,2.0,-12.0,Optimal
-4.0,4.0,2.69,2.07,-18.0,Optimal
-5.0,5.0,1.9,1.6,10.0,Optimal
-4.5,8.0,1.8,3.02,-18.0,Optimal
-6.0,5.0,2.33,1.4,-24.0,Optimal
-4.5,4.0,2.0,2.0,-6.0,Optimal
-3.0,6.0,1.69,2.31,-6.0,Optimal
-5.5,1.0,0.0,0.0,16.0,Optimal
-3.8,5.0,2.0,2.0,18.0,Optimal
-5.6,5.0,2.83,1.9,16.0,Optimal
-4.5,6.0,2.05,2.36,17.0,Optimal
-5.0,1.0,0.0,2.31,-6.0,Optimal
-2.0,4.0,1.16,1.56,15.0,Optimal
-4.5,5.0,2.02,0.0,16.0,Optimal
-4.0,6.0,2.08,1.75,-6.0,Optimal
-4.6,7.0,2.76,2.52,-30.0,Optimal
-2.0,4.0,1.52,2.08,22.0,Optimal
-7.0,6.0,1.87,2.2,10.0,Optimal
-3.0,6.0,2.18,2.3,19.0,Optimal
-7.0,5.0,2.35,3.06,10.0,Optimal
-5.5,4.0,2.0,2.0,28.0,Optimal
-6.0,3.0,1.0,1.94,10.0,Optimal
-4.0,5.0,1.9,1.6,0.0,Optimal
-4.5,4.0,2.0,2.0,32.0,Optimal
-3.0,1.0,0.0,1.47,22.0,Optimal
-3.0,2.0,1.96,3.13,16.0,Optimal
-5.5,2.0,2.0,1.0,26.0,Optimal
-4.0,1.0,0.0,2.08,-12.0,Optimal
-4.0,6.0,1.89,1.54,-6.0,Optimal
-4.0,7.0,2.59,2.05,17.0,Optimal
-5.0,5.0,1.5,1.6,16.0,Optimal
-5.0,7.0,2.28,2.15,-8.0,Optimal
-6.0,4.0,2.0,2.0,9.0,Optimal
-6.5,7.0,3.02,2.23,16.0,Optimal
-4.0,5.0,1.6,1.9,16.0,Optimal
-4.5,5.0,2.0,2.0,24.0,Optimal
-4.0,4.0,2.0,2.0,10.0,Optimal
-6.0,5.0,1.41,0.0,17.0,Optimal
-5.0,5.0,2.13,2.08,-6.0,Optimal
-4.0,5.0,1.6,0.0,10.0,Optimal
-7.5,4.0,2.25,1.69,16.0,Optimal
-4.5,6.0,2.45,2.08,17.0,Optimal
-5.0,5.0,1.89,2.19,15.0,Optimal
