Appetite,pEffort,Sex_F,SleepInd,SleepInd(-1),SleepInd(-2),uaI,uaI(-1),uaI(-2),pEffort(-1),pEffort(-2),Appetite(-1),Appetite(-2),FatigInd
4.0,5.0,0,-6.0,-6.0,-5.0,1.41,0.0,1.0,1.0,4.0,4.0,5.0,Optimal
6.0,6.0,1,-7.5,-7.5,-4.0,2.0,2.0,2.0,6.0,7.0,6.0,6.0,Optimal
5.0,3.0,1,-6.5,-7.0,-7.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,Optimal
6.0,6.0,1,-4.5,-4.0,-4.5,2.0,2.0,2.0,8.0,7.0,6.0,6.0,Optimal
6.0,6.0,0,-5.0,-4.0,-5.0,2.31,1.69,2.28,1.0,7.0,7.0,6.0,Optimal
6.0,5.0,1,-5.0,-5.0,-5.5,2.16,2.42,2.11,5.0,5.0,6.0,6.0,Optimal
6.0,4.0,1,-6.5,-4.5,-6.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,Optimal
6.0,1.0,1,-4.0,-6.0,-6.0,1.0,0.0,0.0,1.0,1.0,6.0,6.0,Optimal
6.0,1.0,0,-4.0,-6.0,-5.0,0.0,2.08,1.75,7.0,5.0,4.0,4.0,Optimal
6.0,5.0,1,-5.5,-4.5,-4.0,2.0,2.0,2.0,6.0,8.0,6.0,6.0,Optimal
6.0,2.0,1,-6.0,-6.0,-6.0,1.0,2.0,2.0,3.0,2.0,6.0,6.0,Optimal
6.0,5.0,1,-7.5,-5.0,-2.5,2.18,1.77,2.11,4.0,5.0,6.0,6.0,Optimal
6.0,5.0,1,-4.0,-4.0,-3.5,2.52,1.85,2.88,6.0,5.0,6.0,6.0,Optimal
4.0,3.0,1,-3.0,-5.0,-5.0,2.0,2.0,2.0,4.0,5.0,6.0,5.0,Optimal
4.0,4.0,0,-7.0,-6.0,-6.0,3.29,3.29,1.53,3.0,4.0,5.0,4.0,Optimal
6.0,5.0,1,-6.0,-6.0,-5.0,2.47,2.76,2.44,6.0,5.0,6.0,6.0,Optimal
6.0,5.0,1,-3.0,-5.0,-4.0,2.42,1.42,1.98,4.0,3.0,7.0,5.0,Optimal
3.0,5.0,0,-5.0,-5.0,-4.0,2.79,2.33,1.4,5.0,4.0,4.0,4.0,Optimal
6.0,6.0,1,-5.0,-3.0,-4.0,2.0,2.0,2.0,5.0,8.0,6.0,6.0,Optimal
4.0,5.0,0,-7.5,-1.5,-3.0,2.31,1.69,2.28,5.0,6.0,4.0,5.0,Optimal
6.0,4.0,1,-5.0,-5.0,-5.0,2.37,2.73,2.76,5.0,6.0,6.0,6.0,Optimal
6.0,4.0,1,-7.0,-5.0,-4.0,2.56,2.65,2.36,5.0,3.0,6.0,6.0,Optimal
6.0,6.0,1,-4.5,-5.0,-5.5,2.0,2.0,2.0,6.0,6.0,6.0,6.0,Optimal
6.0,1.0,1,-4.0,-5.5,-5.5,2.0,2.0,2.0,3.0,3.0,6.0,6.0,Optimal
6.0,5.0,1,-6.0,-1.0,-5.0,1.69,2.03,2.25,5.0,6.0,7.0,6.0,Optimal
3.0,4.0,0,-4.5,-4.5,-4.5,2.0,2.0,2.0,5.0,6.0,4.0,3.0,Optimal
6.0,6.0,1,-6.0,-6.0,-6.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,Optimal
5.0,3.0,0,-6.0,-6.0,-5.6,3.29,1.53,2.83,4.0,5.0,4.0,4.0,Optimal
5.0,2.0,1,-6.0,-7.0,-7.0,2.0,0.0,0.0,1.0,1.0,6.0,6.0,Optimal
6.0,4.0,1,-5.5,-7.0,-5.0,2.11,1.77,1.86,4.0,5.0,6.0,6.0,Optimal
