Name,Date,Appetite,SleepInd,StSpirit,pEffort,uaI,uaI(-1),DeltaWt (%),DeltaHrtwo,FatigInd,Sex_F
283.0,1711100063,5.0,-6.7816441089227695,4.0,1.0,0.0,1.9237926772666845,0.0015085035653003554,0.0,Low/Minimal,1
283.0,1708864499,5.0,-7.31969246141222,3.6803075385877797,1.0,0.0,2.5345014877339676,0.001721862449257904,0.0,Low/Minimal,1
267.0,1586822400,6.0,-6.800000000000001,4.0,6.0,2.0,2.0,-0.017828200972447306,5.0,Low/Minimal,1
267.0,1587945600,6.0,-5.0,4.0,6.0,2.0,1.0,0.004901960784313708,24.0,Low/Minimal,1
270.0,1580256000,6.0,-4.0,5.0,1.0,0.0,0.0,0.0,-6.0,Low/Minimal,1
271.0,1578787200,6.0,-6.0,5.0,1.0,0.0,1.83,0.0,-6.0,Low/Minimal,1
267.0,1588032000,6.0,-6.0,3.0,8.0,2.0,2.0,-0.001626016260162566,5.0,Low/Minimal,1
283.0,1708041600,5.0,-8.0,3.0,1.0,0.0,2.31,0.0053859964093356805,0.0,Low/Minimal,1
269.29937650203505,1581811200,6.0,-6.0,4.574844125508755,3.1257793724562237,0.9268398063909136,2.0844906475305254,0.0,-0.8981295061050636,Low/Minimal,1
271.0,1589241600,6.0,-6.0,5.0,2.0,2.0,2.0,0.00219780219780219,6.0,Low/Minimal,1
283.0,1709251200,5.0,-7.0,4.0,1.0,0.0,2.64,0.0,0.0,Low/Minimal,1
283.0,1734220800,5.0,-7.0,4.0,1.0,0.0,3.67,-0.0017064846416382506,0.0,Low/Minimal,1
267.0,1585366273,6.0,-4.463329432896897,5.853317731587588,6.926658865793794,2.0,2.0,-0.009594031186804752,4.0,Low/Minimal,1
283.0,1710460800,6.0,-7.0,5.0,1.0,0.0,0.0,0.012612612612612706,0.0,Low/Minimal,1
267.0,1588285404,6.0,-2.5419227854830293,3.016769114193212,6.983230885806789,2.0,1.9832308858067882,8.2201540162803e-05,16.134152913545694,Low/Minimal,1
267.0,1586217600,6.0,-5.0,5.0,5.0,2.0,2.0,0.006578947368421018,11.0,Low/Minimal,1
271.0,1585023745,6.0,-5.773354131682093,5.0,2.0,2.0,2.0,-0.00040677698166979067,-3.813166946543252,Low/Minimal,1
267.0,1574985600,6.0,-4.5,3.0,2.0,2.33,1.87,-0.0033003300330033403,-18.0,Low/Minimal,1
283.0,1734653612,5.0,-6.039708314340944,3.0,1.0,0.0,0.31191249430228324,0.014282449377257695,1.247649977209133,Low/Minimal,1
271.0,1585094400,6.0,-7.0,5.0,2.0,2.0,2.0,-0.0022321428571429047,6.0,Low/Minimal,1
271.0,1584921600,6.0,-6.5,5.0,2.0,2.0,2.0,0.0022371364653244186,-6.0,Low/Minimal,1
270.0,1575763200,6.0,-4.0,4.0,6.0,2.92,3.29,0.0,-6.0,Low/Minimal,1
270.0,1578787200,6.0,-6.0,5.0,1.0,0.0,1.83,0.0,0.0,Low/Minimal,1
267.0,1588550400,6.0,-3.0,4.0,5.0,2.0,2.0,0.0,13.0,Low/Minimal,1
271.0,1588896000,6.0,-6.0,5.0,1.0,0.0,2.0,0.022471910112359605,0.0,Low/Minimal,1
283.0,1711700629,5.609996657782621,-8.092009358208662,4.390003342217379,1.0,0.3900033422173791,2.0,0.0,0.0,Low/Minimal,1
